ISBN,TITULO,AUTOR,ANO
9788500000985,Algoritmos - Volume 986,Patterson,1999
9788500000986,Inteligência Artificial - Volume 987,Deitel,2017
9788500000987,Banco de Dados - Volume 988,Thomas Cormen,2001
9788500000988,Mineração de Dados - Volume 989,Hearn,2006
9788500000989,Estruturas de Dados - Volume 990,Knuth,2015
9788500000990,Análise de Dados - Volume 991,Szeliski,2016
9788500000991,Visão Computacional - Volume 992,Thomas Cormen,1995
9788500000992,Segurança da Informação - Volume 993,Stallings,2008
9788500000993,Algoritmos - Volume 994,Thomas Cormen,2011
9788500000994,Machine Learning - Volume 995,Stallings,2004
9788500000995,Algoritmos - Volume 996,Han,2021
9788500000996,Arquitetura de Computadores - Volume 997,Silberschatz,1998
9788500000997,Python - Volume 998,Han,1999
9788500000998,Inteligência Artificial - Volume 999,Russell,2014
9788500000999,Mineração de Dados - Volume 1000,Goodfellow,2021
